0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:32:13 +0200] "GET /Actori/index.html HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:32:14 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:32:14 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:32:49 +0200] "GET /Actori/index.html HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:32:49 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:32:49 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:32:55 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:32:55 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:32:55 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:32:55 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:33:28 +0200] "GET /Actori/index.html HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:33:43 +0200] "GET /Actori/index.html HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:36:38 +0200] "GET /Actori/index.html HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:38:55 +0200] "GET /Actori/index.html HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:38:56 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:41:38 +0200] "GET /Actori/index.html HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:45:28 +0200] "GET /Actori/index.html HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:45:28 +0200] "GET /Actori/assets/actori.png HTTP/1.1" 200 5188
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:52:35 +0200] "GET /Actori/index.html HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:52:35 +0200] "GET /Actori/assets/actori_rosu.png HTTP/1.1" 200 57638
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:52:35 +0200] "GET /Actori/assets/actori.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:52:36 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:53:49 +0200] "GET /Actori/index.html HTTP/1.1" 200 2305
